Open,High,Low,Close,Adj Close,Volume,Price Range,Price Change %,Year,Month
157.080002,157.440002,152.199997,153.710007,153.710007,8683400,5.2400049999999965,,2010,10
153.949997,155.960007,152.789993,155.389999,155.389999,5346500,3.1700139999999806,1.092962021659405,2010,10
157.080002,161.210007,157.009995,160.869995,160.869995,5620000,4.200011999999987,3.526607912520796,2010,10
160.600006,160.679993,154.600006,155.399994,155.399994,6060800,6.0799869999999885,-3.400261807678928,2010,10
156.509995,157.399994,153.389999,156.270004,156.270004,4622000,4.0099950000000035,0.5598520164679099,2010,10
155.179993,156.279999,152.779999,155.550003,155.550003,6918400,3.5,-0.4607416532733888,2010,10
154.889999,156.630005,152.339996,153.029999,153.029999,4486400,4.290008999999998,-1.6200603994845353,2010,10
152.509995,156.949997,151.399994,156.479996,156.479996,5280800,5.550003000000004,2.2544579641538,2010,10
156.690002,156.789993,153.850006,155.169998,155.169998,5632800,2.939987000000002,-0.837166432442904,2010,10
155.160004,156.949997,154.229996,155.529999,155.529999,4024100,2.7200009999999963,0.23200425638982836,2010,10
158.419998,164.880005,156.75,164.639999,164.639999,10135500,8.130005000000011,5.857390894730208,2010,10
165.0,165.190002,161.820007,163.559998,163.559998,6331300,3.3699949999999887,-0.6559772877549497,2010,10
160.679993,162.800003,157.0,158.669998,158.669998,7525000,5.800003000000004,-2.9897285765435266,2010,10
158.779999,159.869995,156.570007,158.669998,158.669998,5790400,3.299987999999985,0.0,2010,10
162.669998,166.130005,161.289993,164.970001,164.970001,13482500,4.8400120000000015,3.9705067620912304,2010,10
162.449997,170.169998,162.270004,169.130005,169.130005,16318400,7.899993999999992,2.5216730161746304,2010,10
171.570007,171.990005,168.320007,169.0,169.0,6530900,3.6699979999999925,-0.07686690484045577,2010,10
167.570007,171.0,167.5,169.949997,169.949997,4689600,3.5,0.5621284023668682,2010,10
168.910004,169.75,166.539993,167.509995,167.509995,5721800,3.2100069999999903,-1.435717589333052,2010,10
168.309998,168.490005,165.050003,166.839996,166.839996,4684400,3.4400019999999927,-0.39997553578817735,2010,10
165.800003,168.5,164.809998,165.229996,165.229996,4998500,3.6900019999999927,-0.9649964268759748,2010,10
164.449997,164.580002,161.520004,162.580002,162.580002,5239900,3.0599980000000073,-1.6038213787767597,2010,11
163.75,165.940002,163.360001,164.610001,164.610001,4260000,2.5800009999999816,1.2486154354949486,2010,11
165.399994,168.610001,162.289993,168.470001,168.470001,6112100,6.320008000000001,2.344936502369621,2010,11
169.860001,172.529999,168.399994,168.929993,168.929993,7395900,4.130005000000011,0.27304089586845937,2010,11
169.350006,171.649994,168.589996,170.770004,170.770004,5212200,3.059997999999979,1.0892151046262066,2010,11
170.839996,173.199997,168.779999,171.990005,171.990005,5706000,4.4199979999999925,0.7144117651950221,2010,11
172.669998,173.139999,169.059998,170.270004,170.270004,3978600,4.080000999999982,-1.0000586952712776,2010,11
170.589996,173.369995,169.410004,173.330002,173.330002,5440300,3.9599910000000023,1.7971444929313574,2010,11
171.0,172.050003,169.419998,170.369995,170.369995,5691700,2.6300050000000113,-1.7077291673948114,2010,11
170.119995,171.259995,165.050003,165.679993,165.679993,7160600,6.209992,-2.752833326079507,2010,11
165.160004,165.350006,158.559998,158.899994,158.899994,9648600,6.790008,-4.092225547112383,2010,11
